shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
43972,39.952549,-82.990825,225,11.7028
43972,39.952464,-82.988983,226,11.8581
43972,39.952387,-82.987229,227,12.0073
43972,39.952361,-82.986599,228,12.0604
43972,39.952333,-82.985979,229,12.1135
43972,39.952292,-82.985091,230,12.1887
43972,39.952258,-82.984363,231,12.2508
43972,39.952231,-82.983781,232,12.2999
43972,39.952165,-82.982400,233,12.4172
43972,39.952102,-82.982243,234,12.4319
43972,39.951921,-82.981538,235,12.4952
43972,39.951744,-82.980947,236,12.5490
43972,39.951582,-82.980391,237,12.5994
43972,39.951401,-82.979754,238,12.6573
43972,39.951224,-82.979144,239,12.7117
43972,39.951059,-82.978576,240,12.7643
43972,39.950890,-82.977988,241,12.8168
43972,39.950762,-82.977557,242,12.8564
43972,39.950703,-82.977380,243,12.8729
43972,39.950542,-82.976978,244,12.9114
43972,39.950431,-82.976689,245,12.9387
43972,39.950406,-82.976629,246,12.9441
43972,39.950223,-82.976160,247,12.9893
43972,39.949997,-82.975575,248,13.0452
43972,39.949952,-82.975386,249,13.0619
43972,39.949942,-82.975270,250,13.0710
43972,39.949933,-82.975081,251,13.0870
43972,39.949887,-82.974014,252,13.1782
43972,39.949880,-82.973906,253,13.1873
43972,39.949856,-82.973406,254,13.2293
43972,39.949834,-82.972947,255,13.2684
43972,39.949829,-82.972828,256,13.2784
43972,39.949762,-82.971493,257,13.3917
43972,39.949694,-82.970097,258,13.5100
43972,39.949629,-82.968816,259,13.6192
43972,39.949596,-82.968100,260,13.6803
43972,39.949560,-82.967308,261,13.7475
43972,39.949488,-82.965889,262,13.8677
43972,39.949484,-82.965794,263,13.8758
43972,39.949434,-82.964748,264,13.9639
43972,39.949422,-82.964496,265,13.9860
43972,39.949386,-82.963688,266,14.0541
43972,39.949375,-82.963459,267,14.0742
43972,39.949362,-82.963186,268,14.0973
43972,39.949359,-82.963150,269,14.1003
43972,39.949300,-82.961978,270,14.1995
43972,39.949272,-82.961392,271,14.2496
43972,39.949243,-82.960781,272,14.3007
43972,39.949223,-82.960381,273,14.3347
43972,39.949168,-82.959264,274,14.4300
43972,39.949114,-82.958169,275,14.5222
43972,39.949054,-82.956979,276,14.6234
43972,39.949006,-82.955962,277,14.7096
43972,39.948968,-82.955185,278,14.7757
43972,39.948951,-82.954819,279,14.8068
43972,39.948896,-82.953721,280,14.9000
43972,39.948891,-82.953622,281,14.9090
43972,39.948864,-82.953168,282,14.9471
43972,39.948797,-82.951865,283,15.0574
43972,39.948671,-82.949364,284,15.2699
43972,39.948656,-82.949070,285,15.2950
43972,39.948582,-82.947678,286,15.4132
43972,39.948564,-82.947326,287,15.4433
43972,39.948528,-82.946635,288,15.5015
43972,39.948457,-82.945251,289,15.6187
43972,39.948381,-82.943937,290,15.7311
43972,39.948375,-82.943703,291,15.7501
43972,39.948366,-82.943524,292,15.7661
43972,39.948342,-82.943039,293,15.8073
43972,39.948314,-82.942467,294,15.8553
43972,39.948231,-82.940680,295,16.0066
43972,39.948189,-82.939726,296,16.0878
43972,39.948139,-82.938655,297,16.1790
43972,39.948131,-82.938651,298,16.1790
43972,39.948062,-82.937179,299,16.3042
43972,39.947981,-82.935650,300,16.4335
43972,39.947989,-82.935654,301,16.4335
43972,39.947953,-82.935078,302,16.4827
43972,39.947903,-82.934245,303,16.5529
43972,39.947870,-82.933610,304,16.6070
43972,39.947840,-82.933044,305,16.6551
43972,39.947774,-82.931874,306,16.7544
43972,39.947709,-82.930684,307,16.8557
43972,39.947643,-82.929492,308,16.9570
43972,39.947580,-82.928282,309,17.0592
43972,39.947511,-82.927034,310,17.1655
43972,39.947455,-82.925893,311,17.2627
43972,39.947359,-82.924095,312,17.4151
43972,39.947239,-82.921942,313,17.5976
43972,39.947175,-82.920716,314,17.7019
43972,39.947111,-82.919486,315,17.8061
43972,39.947042,-82.918334,316,17.9045
43972,39.946982,-82.917193,317,18.0006
43972,39.946902,-82.915990,318,18.1030
43972,39.946879,-82.915540,319,18.1412
43972,39.946877,-82.915489,320,18.1462
43972,39.946769,-82.913281,321,18.3336
43972,39.946746,-82.912831,322,18.3717
43972,39.946713,-82.912190,323,18.4258
43972,39.946649,-82.911015,324,18.5261
43972,39.946622,-82.910492,325,18.5702
43972,39.946588,-82.909844,326,18.6253
43972,39.946527,-82.908665,327,18.7255
43972,39.946493,-82.908009,328,18.7807
43972,39.946438,-82.906969,329,18.8689
43972,39.946405,-82.906318,330,18.9240
43972,39.946347,-82.905336,331,19.0073
43972,39.946288,-82.904352,332,19.0916
43972,39.946171,-82.902289,333,19.2670
43972,39.946103,-82.901249,334,19.3554
43972,39.946079,-82.900840,335,19.3895
43972,39.945994,-82.899233,336,19.5258
43972,39.945944,-82.898334,337,19.6021
43972,39.945892,-82.897203,338,19.6982
43972,39.945878,-82.896896,339,19.7243
43972,39.945818,-82.895683,340,19.8275
43972,39.945756,-82.894487,341,19.9287
43972,39.945707,-82.893639,342,20.0009
43972,39.945634,-82.892405,343,20.1062
43972,39.945595,-82.891738,344,20.1624
43972,39.945567,-82.891254,345,20.2036
43972,39.945434,-82.888995,346,20.3951
43972,39.945347,-82.887422,347,20.5295
43972,39.945311,-82.886797,348,20.5817
43972,39.945237,-82.885507,349,20.6920
43972,39.945103,-82.883137,350,20.8925
43972,39.944890,-82.879468,351,21.2044
43972,39.944869,-82.879089,352,21.2365
43972,39.944801,-82.877950,353,21.3338
43972,39.944794,-82.877817,354,21.3449
43972,39.944609,-82.874491,355,21.6277
43972,39.944524,-82.872938,356,21.7590
43972,39.944434,-82.871399,357,21.8904
43972,39.944331,-82.869635,358,22.0398
43972,39.944240,-82.868103,359,22.1702
43972,39.944173,-82.866828,360,22.2785
43972,39.944041,-82.864528,361,22.4730
43972,39.944002,-82.863819,362,22.5332
43972,39.943984,-82.863519,363,22.5593
43972,39.943794,-82.860312,364,22.8301
43972,39.943687,-82.858223,365,23.0075
43972,39.943557,-82.855804,366,23.2131
43972,39.943468,-82.854182,367,23.3514
43972,39.943435,-82.853647,368,23.3965
43972,39.943424,-82.853111,369,23.4416
43972,39.943291,-82.851010,370,23.6202
43972,39.943269,-82.850673,371,23.6493
43972,39.943234,-82.850122,372,23.6965
43972,39.943161,-82.848806,373,23.8078
43972,39.943148,-82.848544,374,23.8298
43972,39.943139,-82.848266,375,23.8538
43972,39.943130,-82.847868,376,23.8869
43972,39.943130,-82.846976,377,23.9629
43972,39.943133,-82.846728,378,23.9839
43972,39.943131,-82.846527,379,24.0009
43972,39.943132,-82.846282,380,24.0219
43972,39.943131,-82.845936,381,24.0509
43972,39.943120,-82.845332,382,24.1019
43972,39.943120,-82.844978,383,24.1319
43972,39.943135,-82.843750,384,24.2359
43972,39.943134,-82.843466,385,24.2599
43972,39.943140,-82.842974,386,24.3019
43972,39.943141,-82.842592,387,24.3339
43972,39.943133,-82.842321,388,24.3569
43972,39.943126,-82.842000,389,24.3839
43972,39.943114,-82.841723,390,24.4079
43972,39.943077,-82.841353,391,24.4392
43972,39.943023,-82.840887,392,24.4796
43972,39.942993,-82.840682,393,24.4971
43972,39.942951,-82.840417,394,24.5195
43972,39.942826,-82.839769,395,24.5762
43972,39.942725,-82.839248,396,24.6218
43972,39.942597,-82.838360,397,24.6991
43972,39.942569,-82.838101,398,24.7213
43972,39.942552,-82.837919,399,24.7364
43972,39.942521,-82.837630,400,24.7606
43972,39.942503,-82.837452,401,24.7768
43972,39.942433,-82.836344,402,24.8701
43972,39.942419,-82.836013,403,24.8982
43972,39.942405,-82.835836,404,24.9132
43972,39.942321,-82.834367,405,25.0386
43972,39.942254,-82.833136,406,25.1428
43972,39.942223,-82.832631,407,25.1860
43972,39.942090,-82.830505,408,25.3666
43972,39.942051,-82.829896,409,25.4188
43972,39.941379,-82.829962,410,25.4940
43972,39.940332,-82.830065,411,25.6114
43972,39.938503,-82.830231,412,25.8169
